candidate_count,m,optimizer_converged,outside_candidate_payers,panel,payer_count,payer_fraction,runtime_seconds,seed,sigma,training_accuracy
32,16384,True,[],plateau,32,0.001953125,0.9594231669907458,6,1.5,0.5634765625
40,16384,True,[],plateau,40,0.00244140625,1.0477202499751002,7,1.5,0.5660400390625
45,16384,True,[],plateau,45,0.00274658203125,0.9623947910149582,8,1.5,0.56475830078125
37,16384,True,[],plateau,37,0.00225830078125,0.7656607080134563,9,1.5,0.564697265625
39,32768,True,[],plateau,39,0.001190185546875,2.545462249952834,0,1.5,0.566162109375
34,32768,True,[],plateau,34,0.00103759765625,2.078883832960855,1,1.5,0.567657470703125
33,32768,True,[],plateau,33,0.001007080078125,2.380163708992768,2,1.5,0.564178466796875
37,32768,True,[],plateau,37,0.001129150390625,2.7823132920311764,3,1.5,0.567840576171875
44,32768,True,[],plateau,44,0.0013427734375,2.6366414590156637,4,1.5,0.5660400390625
34,32768,True,[],plateau,34,0.00103759765625,1.777689290989656,5,1.5,0.56390380859375
25,32768,True,[],plateau,25,0.000762939453125,1.2352520000422373,6,1.5,0.565521240234375
35,32768,True,[],plateau,35,0.001068115234375,1.9852785000111908,7,1.5,0.562286376953125
39,32768,True,[],plateau,39,0.001190185546875,2.949609834002331,8,1.5,0.570953369140625
40,32768,True,[],plateau,40,0.001220703125,2.4940518339863047,9,1.5,0.56707763671875
32,65536,True,[],plateau,32,0.00048828125,4.098368582956027,0,1.5,0.56353759765625
25,65536,True,[],plateau,25,0.0003814697265625,2.977236541977618,1,1.5,0.56591796875
39,65536,True,[],plateau,39,0.0005950927734375,4.496453667001333,2,1.5,0.5688934326171875
45,65536,True,[],plateau,45,0.0006866455078125,5.162264874961693,3,1.5,0.5636444091796875
38,65536,True,[],plateau,38,0.000579833984375,4.338600624992978,4,1.5,0.565338134765625
43,65536,True,[],plateau,43,0.0006561279296875,5.292390124988742,5,1.5,0.5648345947265625
40,65536,True,[],plateau,40,0.0006103515625,5.336104541958775,6,1.5,0.568634033203125
41,65536,True,[],plateau,41,0.0006256103515625,5.095072458032519,7,1.5,0.563140869140625
33,65536,True,[],plateau,33,0.0005035400390625,4.248589583032299,8,1.5,0.5652923583984375
37,65536,True,[],plateau,37,0.0005645751953125,4.277936333033722,9,1.5,0.5670928955078125
36,4096,True,[],plateau,36,0.0087890625,0.22389541700249538,0,2.0,0.569580078125
37,4096,True,[],plateau,37,0.009033203125,0.16130254202289507,1,2.0,0.5595703125
43,4096,True,[],plateau,43,0.010498046875,0.20893949997844175,2,2.0,0.561279296875
51,4096,True,[],plateau,51,0.012451171875,0.23186195798916742,3,2.0,0.550048828125
47,4096,True,[],plateau,47,0.011474609375,0.22062562499195337,4,2.0,0.5556640625
40,4096,True,[],plateau,40,0.009765625,0.18769320799037814,5,2.0,0.555419921875
29,4096,True,[],plateau,28,0.0068359375,0.14560716698179021,6,2.0,0.552490234375
52,4096,True,[],plateau,52,0.0126953125,0.3079860840225592,7,2.0,0.55322265625
41,4096,True,[],plateau,41,0.010009765625,0.203372040996328,8,2.0,0.556396484375
47,4096,True,[],plateau,47,0.011474609375,0.22825612500309944,9,2.0,0.543212890625
47,8192,True,[],plateau,47,0.0057373046875,0.5123886250075884,0,2.0,0.5523681640625
39,8192,True,[],plateau,39,0.0047607421875,0.41346874996088445,1,2.0,0.554931640625
55,8192,True,[],plateau,55,0.0067138671875,0.4868022910086438,2,2.0,0.553955078125
49,8192,True,[],plateau,49,0.0059814453125,0.5889529580017552,3,2.0,0.5538330078125
57,8192,True,[],plateau,57,0.0069580078125,0.615961832983885,4,2.0,0.5523681640625
56,8192,True,[],plateau,56,0.0068359375,0.603562582982704,5,2.0,0.5478515625
70,8192,True,[],plateau,70,0.008544921875,0.906099040992558,6,2.0,0.5416259765625
38,8192,True,[],plateau,38,0.004638671875,0.5750662499922328,7,2.0,0.5479736328125
37,8192,True,[],plateau,37,0.0045166015625,0.5545407079625875,8,2.0,0.55517578125
40,8192,True,[],plateau,37,0.0045166015625,0.594558542012237,9,2.0,0.553955078125
45,16384,True,[],plateau,45,0.00274658203125,0.9065357089857571,0,2.0,0.5615234375
31,16384,True,[],plateau,31,0.00189208984375,0.7054457499762066,1,2.0,0.55450439453125
49,16384,True,[],plateau,49,0.00299072265625,1.2654207089799456,2,2.0,0.548828125
43,16384,True,[],plateau,43,0.00262451171875,1.2563365420210175,3,2.0,0.5550537109375
61,16384,True,[],plateau,61,0.00372314453125,1.9645194159820676,4,2.0,0.55126953125
42,16384,True,[],plateau,42,0.0025634765625,1.8168137500179,5,2.0,0.55267333984375
53,16384,True,[],plateau,53,0.00323486328125,1.7898000829736702,6,2.0,0.5487060546875
52,16384,True,[],plateau,52,0.003173828125,2.140207874996122,7,2.0,0.55364990234375
32,16384,True,[],plateau,32,0.001953125,0.881782500015106,8,2.0,0.5479736328125
44,16384,True,[],plateau,44,0.002685546875,1.0285950410179794,9,2.0,0.55279541015625
39,32768,True,[],plateau,39,0.001190185546875,4.220844792027492,0,2.0,0.553955078125
43,32768,True,[],plateau,43,0.001312255859375,4.290399374964181,1,2.0,0.551239013671875
38,32768,True,[],plateau,38,0.00115966796875,4.027713874995243,2,2.0,0.5477294921875
42,32768,True,[],plateau,42,0.00128173828125,4.072772332991008,3,2.0,0.546905517578125
49,32768,True,[],plateau,49,0.001495361328125,2.2050460419850424,4,2.0,0.547607421875
53,32768,True,[],plateau,53,0.001617431640625,3.114896375045646,5,2.0,0.55157470703125
56,32768,True,[],plateau,56,0.001708984375,3.0250612500240095,6,2.0,0.54962158203125
59,32768,True,[],plateau,59,0.001800537109375,3.109098582994193,7,2.0,0.547698974609375
44,32768,True,[],plateau,44,0.0013427734375,2.9965235000126995,8,2.0,0.558746337890625
50,32768,True,[],plateau,50,0.00152587890625,3.041177000035532,9,2.0,0.550811767578125
43,65536,True,[],plateau,43,0.0006561279296875,6.261919374985155,0,2.0,0.5500640869140625
63,65536,True,[],plateau,63,0.0009613037109375,7.915433833026327,1,2.0,0.5480499267578125
54,65536,True,[],plateau,54,0.000823974609375,6.572334124997724,2,2.0,0.5518341064453125
56,65536,True,[],plateau,56,0.0008544921875,6.328302040987182,3,2.0,0.548980712890625
57,65536,True,[],plateau,57,0.0008697509765625,5.325769208022393,4,2.0,0.5507354736328125
53,65536,True,[],plateau,53,0.0008087158203125,5.579508916998748,5,2.0,0.550048828125
45,65536,True,[],plateau,45,0.0006866455078125,4.419181375007611,6,2.0,0.5494384765625
38,65536,True,[],plateau,38,0.000579833984375,3.8632210830110125,7,2.0,0.5526123046875
45,65536,True,[],plateau,45,0.0006866455078125,4.516890749975573,8,2.0,0.5501708984375
58,65536,True,[],plateau,58,0.000885009765625,5.949451916967519,9,2.0,0.5492401123046875
59,4096,True,[],plateau,57,0.013916015625,0.2721302079735324,0,2.5,0.544677734375
49,4096,True,[],plateau,46,0.01123046875,0.20624504098668694,1,2.5,0.547607421875
67,4096,True,[],plateau,59,0.014404296875,0.2535795000148937,2,2.5,0.544189453125
58,4096,True,[],plateau,56,0.013671875,0.2005184160079807,3,2.5,0.548828125
48,4096,True,[],plateau,40,0.009765625,0.16872366599272937,4,2.5,0.54833984375
