candidate_count,dimension,mu,optimizer_converged,outside_candidate_payers,panel,payer_count,payer_fraction,runtime_seconds,seed,shuffled_label_accuracy,test_accuracy,training_accuracy
1,8,1.0,True,[],accuracy_association,1,0.002,0.006038082996383309,7,0.5004,0.8384,0.878
2,8,1.0,True,[],accuracy_association,2,0.004,0.029846917022950947,8,0.511,0.8382,0.838
1,8,1.0,True,[],accuracy_association,1,0.002,0.009646082995459437,9,0.503,0.8354,0.85
0,8,1.5,True,[],accuracy_association,0,0.0,0.0036727500264532864,0,0.487,0.9326,0.934
0,8,1.5,True,[],accuracy_association,0,0.0,0.003588082967326045,1,0.5126,0.9322,0.926
1,8,1.5,True,[],accuracy_association,1,0.002,0.010868916986510158,2,0.5094,0.9338,0.928
1,8,1.5,True,[],accuracy_association,0,0.0,0.01325449999421835,3,0.5004,0.9336,0.922
0,8,1.5,True,[],accuracy_association,0,0.0,0.007912667002528906,4,0.5068,0.9328,0.922
2,8,1.5,True,[],accuracy_association,2,0.004,0.006628457980696112,5,0.504,0.938,0.928
2,8,1.5,True,[],accuracy_association,1,0.002,0.0062781249871477485,6,0.4944,0.9304,0.938
2,8,1.5,True,[],accuracy_association,1,0.002,0.006003249960485846,7,0.4886,0.9346,0.964
1,8,1.5,True,[],accuracy_association,0,0.0,0.0057604999747127295,8,0.49,0.94,0.954
0,8,1.5,True,[],accuracy_association,0,0.0,0.00255762500455603,9,0.504,0.9328,0.91
0,8,2.0,True,[],accuracy_association,0,0.0,0.002687250031158328,0,0.4954,0.9766,0.974
0,8,2.0,True,[],accuracy_association,0,0.0,0.003665249969344586,1,0.501,0.9778,0.978
0,8,2.0,True,[],accuracy_association,0,0.0,0.004082791041582823,2,0.4918,0.977,0.962
0,8,2.0,True,[],accuracy_association,0,0.0,0.002612082986161113,3,0.5016,0.9752,0.978
0,8,2.0,True,[],accuracy_association,0,0.0,0.0039564999751746655,4,0.4964,0.978,0.972
0,8,2.0,True,[],accuracy_association,0,0.0,0.0038523750263266265,5,0.5046,0.979,0.968
3,8,2.0,True,[],accuracy_association,1,0.002,0.004665957996621728,6,0.5016,0.9768,0.984
1,8,2.0,True,[],accuracy_association,1,0.002,0.004591375007294118,7,0.4928,0.9772,0.976
0,8,2.0,True,[],accuracy_association,0,0.0,0.004073332995176315,8,0.4958,0.9754,0.988
0,8,2.0,True,[],accuracy_association,0,0.0,0.0037081250338815153,9,0.5004,0.9804,0.968
0,8,3.0,True,[],accuracy_association,0,0.0,0.002585000009275973,0,0.4926,0.999,1.0
0,8,3.0,True,[],accuracy_association,0,0.0,0.0034595829783938825,1,0.5006,0.999,0.998
0,8,3.0,True,[],accuracy_association,0,0.0,0.0030045839957892895,2,0.4958,0.9986,0.998
0,8,3.0,True,[],accuracy_association,0,0.0,0.002581666980404407,3,0.5106,0.9986,0.998
0,8,3.0,True,[],accuracy_association,0,0.0,0.01174679200630635,4,0.488,0.9984,0.998
0,8,3.0,True,[],accuracy_association,0,0.0,0.033152167045045644,5,0.5066,0.9986,1.0
0,8,3.0,True,[],accuracy_association,0,0.0,0.002607791975606233,6,0.5,0.9988,0.998
0,8,3.0,True,[],accuracy_association,0,0.0,0.004003959009423852,7,0.4988,0.998,0.998
0,8,3.0,True,[],accuracy_association,0,0.0,0.0052726250141859055,8,0.5162,0.9986,0.998
0,8,3.0,True,[],accuracy_association,0,0.0,0.03261316701536998,9,0.4968,0.9984,0.994
0,8,4.0,True,[],accuracy_association,0,0.0,0.00595654099015519,0,0.5088,1.0,1.0
0,8,4.0,True,[],accuracy_association,0,0.0,0.01026766694849357,1,0.4964,1.0,1.0
0,8,4.0,True,[],accuracy_association,0,0.0,0.003936124965548515,2,0.498,1.0,1.0
0,8,4.0,True,[],accuracy_association,0,0.0,0.0035822500358335674,3,0.4908,1.0,1.0
0,8,4.0,True,[],accuracy_association,0,0.0,0.005151707970071584,4,0.5008,1.0,1.0
0,8,4.0,True,[],accuracy_association,0,0.0,0.007893665984738618,5,0.4892,1.0,1.0
0,8,4.0,True,[],accuracy_association,0,0.0,0.010404833010397851,6,0.4998,0.9998,1.0
0,8,4.0,True,[],accuracy_association,0,0.0,0.004568292002659291,7,0.4964,1.0,1.0
0,8,4.0,True,[],accuracy_association,0,0.0,0.003917624999303371,8,0.5032,1.0,1.0
0,8,4.0,True,[],accuracy_association,0,0.0,0.004730125016067177,9,0.4996,1.0,1.0
0,8,5.0,True,[],accuracy_association,0,0.0,0.00822841702029109,0,0.492,1.0,1.0
0,8,5.0,True,[],accuracy_association,0,0.0,0.004632583004422486,1,0.5096,1.0,1.0
0,8,5.0,True,[],accuracy_association,0,0.0,0.007645250007044524,2,0.5004,1.0,1.0
0,8,5.0,True,[],accuracy_association,0,0.0,0.0032845420064404607,3,0.4972,1.0,1.0
0,8,5.0,True,[],accuracy_association,0,0.0,0.004550833022221923,4,0.5,1.0,1.0
0,8,5.0,True,[],accuracy_association,0,0.0,0.004227624973282218,5,0.4996,1.0,1.0
0,8,5.0,True,[],accuracy_association,0,0.0,0.00898379203863442,6,0.498,1.0,1.0
0,8,5.0,True,[],accuracy_association,0,0.0,0.007107458950486034,7,0.5052,1.0,1.0
0,8,5.0,True,[],accuracy_association,0,0.0,0.004617958038579673,8,0.512,1.0,1.0
0,8,5.0,True,[],accuracy_association,0,0.0,0.004879624990280718,9,0.4956,1.0,1.0
0,8,6.0,True,[],accuracy_association,0,0.0,0.004621375002898276,0,0.5036,1.0,1.0
0,8,6.0,True,[],accuracy_association,0,0.0,0.0039855000213719904,1,0.4948,1.0,1.0
0,8,6.0,True,[],accuracy_association,0,0.0,0.004220291040837765,2,0.4904,1.0,1.0
0,8,6.0,True,[],accuracy_association,0,0.0,0.004645042004995048,3,0.4976,1.0,1.0
0,8,6.0,True,[],accuracy_association,0,0.0,0.00449654198018834,4,0.4852,1.0,1.0
0,8,6.0,True,[],accuracy_association,0,0.0,0.004987334017641842,5,0.5012,1.0,1.0
0,8,6.0,True,[],accuracy_association,0,0.0,0.003348332946188748,6,0.498,1.0,1.0
0,8,6.0,True,[],accuracy_association,0,0.0,0.0029981249826960266,7,0.4896,1.0,1.0
0,8,6.0,True,[],accuracy_association,0,0.0,0.005460999964270741,8,0.492,1.0,1.0
0,8,6.0,True,[],accuracy_association,0,0.0,0.005706875002942979,9,0.502,1.0,1.0
44,16,0.0,True,[],accuracy_association,44,0.088,0.0779448330285959,0,0.5068,0.5032,0.564
33,16,0.0,True,[],accuracy_association,33,0.066,0.04776700004003942,1,0.5164,0.4996,0.586
37,16,0.0,True,[],accuracy_association,37,0.074,0.04814854101277888,2,0.508,0.504,0.56
30,16,0.0,True,[],accuracy_association,30,0.06,0.03695679100928828,3,0.4934,0.4922,0.588
44,16,0.0,True,[],accuracy_association,44,0.088,0.04956433404004201,4,0.5012,0.4956,0.556
